sku,description,qty_on_hand,last_movement_at,unit_price_gbp,distinct_customers
10002,INFLATABLE POLITICAL GLOBE,67,2010-12-03 11:28:00,1.01,3
15056BL,EDWARDIAN PARASOL BLACK,50,2010-12-02 16:34:00,5.38,4
15056N,EDWARDIAN PARASOL NATURAL,51,2010-12-02 13:49:00,5.53,4
16237,SLEEPING CAT ERASERS,431,2010-12-03 11:19:00,0.26,4
16238,PARTY TIME PENCIL ERASERS,34,2010-12-01 17:06:00,0.36,1
17091A,LAVENDER INCENSE IN TIN,1,2010-12-01 11:21:00,1.25,1
20668,DISCO BALL CHRISTMAS DECORATION,378,2010-12-02 16:59:00,0.21,5
20669,RED HEART LUGGAGE TAG,2,2010-12-01 14:32:00,1.88,1
20679,EDWARDIAN PARASOL RED,70,2010-12-03 11:28:00,5.93,5
20685,DOORMAT RED RETROSPOT,84,2010-12-02 18:25:00,8.27,7
20713,JUMBO BAG OWLS,41,2010-12-01 14:11:00,1.95,3
20717,STRAWBERRY SHOPPER BAG,2,2010-12-01 17:06:00,1.88,1
20723,STRAWBERRY CHARLOTTE BAG,15,2010-12-03 11:28:00,1.34,3
20725,LUNCH BAG RED RETROSPOT,100,2010-12-03 11:28:00,2.91,7
20726,LUNCH BAG WOODLAND,15,2010-12-02 18:45:00,1.65,4
20727,LUNCH BAG  BLACK SKULL.,181,2010-12-03 11:19:00,1.83,9
20728,LUNCH BAG CARS BLUE,25,2010-12-02 19:59:00,1.65,4
20749,ASSORTED COLOUR MINI CASES,44,2010-12-03 09:49:00,7.75,8
20820,SILVER LOOKING MIRROR,3,2010-12-01 11:21:00,4.95,1
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,168,2010-12-02 19:59:00,3.34,12
20961,STRAWBERRY BATH SPONGE,106,2010-12-03 11:19:00,1.75,3
20963,APPLE BATH SPONGE,114,2010-12-03 11:19:00,1.46,5
20966,SANDWICH BATH SPONGE,20,2010-12-02 08:52:00,1.75,3
20982,12 PENCILS TALL TUBE SKULLS,26,2010-12-02 19:59:00,0.85,3
20992,JAZZ HEARTS PURSE NOTEBOOK,22,2010-12-02 11:41:00,1.12,2
21033,JUMBO BAG CHARLIE AND LOLA TOYS,24,2010-12-02 18:45:00,2.95,3
21034,REX CASH+CARRY JUMBO SHOPPER,18,2010-12-03 11:35:00,0.95,8
21035,SET/2 RED RETROSPOT TEA TOWELS,30,2010-12-03 11:28:00,4.22,4
21061,PARTY INVITES FOOTBALL,24,2010-12-02 10:27:00,0.85,2
21062,PARTY INVITES SPACEMAN,24,2010-12-02 10:27:00,0.85,2
21063,PARTY INVITES JAZZ HEARTS,24,2010-12-02 17:12:00,0.85,2
21065,BOOM BOX SPEAKER GIRLS,1,2010-12-01 11:45:00,5.95,1
21068,VINTAGE BILLBOARD LOVE/HATE MUG,110,2010-12-03 11:28:00,1.23,2
21071,VINTAGE BILLBOARD DRINK ME MUG,136,2010-12-03 11:13:00,1.29,4
21080,SET/20 RED RETROSPOT PAPER NAPKINS,249,2010-12-03 11:35:00,0.92,8
21086,SET/6 RED SPOTTY PAPER CUPS,116,2010-12-03 11:13:00,0.82,5
21094,SET/6 RED SPOTTY PAPER PLATES,198,2010-12-03 09:49:00,0.81,6
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,50,2010-12-03 11:28:00,3.80,3
21115,ROSE CARAVAN DOORSTOP,5,2010-12-01 14:32:00,10.59,1
21116,OWL DOORSTOP,9,2010-12-03 11:28:00,7.30,2
21122,SET/10 PINK POLKADOT PARTY CANDLES,5,2010-12-01 12:49:00,1.25,4
21125,SET 6 FOOTBALL CELEBRATION CANDLES,24,2010-12-02 10:17:00,1.25,2
21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,2010-12-01 11:29:00,1.25,1
21166,COOK WITH WINE METAL SIGN,40,2010-12-03 11:13:00,2.70,4
21169,YOU'RE CONFUSING ME METAL SIGN,32,2010-12-03 11:27:00,2.70,3
21175,GIN + TONIC DIET METAL SIGN,17,2010-12-02 15:55:00,2.63,3
21210,SET OF 72 RETROSPOT PAPER  DOILIES,40,2010-12-03 11:35:00,1.76,4
21212,PACK OF 72 RETROSPOT CAKE CASES,700,2010-12-02 18:27:00,0.60,15
21213,PACK OF 72 SKULL CAKE CASES,100,2010-12-02 17:12:00,0.76,5
21232,STRAWBERRY CERAMIC TRINKET BOX,617,2010-12-03 09:31:00,1.44,8
21242,RED RETROSPOT PLATE,1,2010-12-01 11:49:00,1.69,1
