movement_id,sku,description,qty,moved_at,invoice_no,unit_price_gbp,customer_id,country
mv-0000000,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,536365,2.55,17850,United Kingdom
mv-0000001,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00,536365,3.39,17850,United Kingdom
mv-0000002,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,536365,2.75,17850,United Kingdom
mv-0000003,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00,536365,3.39,17850,United Kingdom
mv-0000004,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00,536365,3.39,17850,United Kingdom
mv-0000005,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00,536365,7.65,17850,United Kingdom
mv-0000006,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00,536365,4.25,17850,United Kingdom
mv-0000007,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,536366,1.85,17850,United Kingdom
mv-0000008,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00,536366,1.85,17850,United Kingdom
mv-0000009,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,536367,1.69,13047,United Kingdom
mv-0000010,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34:00,536367,2.10,13047,United Kingdom
mv-0000011,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00,536367,2.10,13047,United Kingdom
mv-0000012,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00,536367,3.75,13047,United Kingdom
mv-0000013,22310,IVORY KNITTED MUG COSY,6,2010-12-01 08:34:00,536367,1.65,13047,United Kingdom
mv-0000014,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00,536367,4.25,13047,United Kingdom
mv-0000015,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34:00,536367,4.95,13047,United Kingdom
mv-0000016,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00,536367,9.95,13047,United Kingdom
mv-0000017,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00,536367,5.95,13047,United Kingdom
mv-0000018,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00,536367,5.95,13047,United Kingdom
mv-0000019,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00,536367,7.95,13047,United Kingdom
mv-0000020,48187,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00,536367,7.95,13047,United Kingdom
mv-0000021,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00,536368,4.25,13047,United Kingdom
mv-0000022,22913,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,536368,4.95,13047,United Kingdom
mv-0000023,22912,YELLOW COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,536368,4.95,13047,United Kingdom
mv-0000024,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,536368,4.95,13047,United Kingdom
mv-0000025,21756,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35:00,536369,5.95,13047,United Kingdom
mv-0000026,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45:00,536370,3.75,12583,France
mv-0000027,22727,ALARM CLOCK BAKELIKE RED,24,2010-12-01 08:45:00,536370,3.75,12583,France
mv-0000028,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01 08:45:00,536370,3.75,12583,France
mv-0000029,21724,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01 08:45:00,536370,0.85,12583,France
mv-0000030,21883,STARS GIFT TAPE,24,2010-12-01 08:45:00,536370,0.65,12583,France
mv-0000031,10002,INFLATABLE POLITICAL GLOBE,48,2010-12-01 08:45:00,536370,0.85,12583,France
mv-0000032,21791,VINTAGE HEADS AND TAILS CARD GAME,24,2010-12-01 08:45:00,536370,1.25,12583,France
mv-0000033,21035,SET/2 RED RETROSPOT TEA TOWELS,18,2010-12-01 08:45:00,536370,2.95,12583,France
mv-0000034,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24,2010-12-01 08:45:00,536370,2.95,12583,France
mv-0000035,22629,SPACEBOY LUNCH BOX,24,2010-12-01 08:45:00,536370,1.95,12583,France
mv-0000036,22659,LUNCH BOX I LOVE LONDON,24,2010-12-01 08:45:00,536370,1.95,12583,France
mv-0000037,22631,CIRCUS PARADE LUNCH BOX,24,2010-12-01 08:45:00,536370,1.95,12583,France
mv-0000038,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-01 08:45:00,536370,0.85,12583,France
mv-0000039,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2010-12-01 08:45:00,536370,1.65,12583,France
mv-0000040,22900,SET 2 TEA TOWELS I LOVE LONDON,24,2010-12-01 08:45:00,536370,2.95,12583,France
mv-0000041,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2010-12-01 08:45:00,536370,3.75,12583,France
mv-0000042,22540,MINI JIGSAW CIRCUS PARADE,24,2010-12-01 08:45:00,536370,0.42,12583,France
mv-0000043,22544,MINI JIGSAW SPACEBOY,24,2010-12-01 08:45:00,536370,0.42,12583,France
mv-0000044,22492,MINI PAINT SET VINTAGE,36,2010-12-01 08:45:00,536370,0.65,12583,France
mv-0000045,POST,POSTAGE,3,2010-12-01 08:45:00,536370,18.00,12583,France
mv-0000046,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2010-12-01 09:00:00,536371,2.55,13748,United Kingdom
mv-0000047,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:01:00,536372,1.85,17850,United Kingdom
mv-0000048,22633,HAND WARMER UNION JACK,6,2010-12-01 09:01:00,536372,1.85,17850,United Kingdom
mv-0000049,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:02:00,536373,2.55,17850,United Kingdom
mv-0000050,71053,WHITE METAL LANTERN,6,2010-12-01 09:02:00,536373,3.39,17850,United Kingdom
